file_name,relative_path,source_collection,file_size_bytes,file_size_mib,modified_time,sha256,possible_year_from_filename,possible_title_from_filename
云南省建水县石漠化修复模式评价_肖林颖.caj.pdf,docs/literature/pdfs/package_2000_2026/云南省建水县石漠化修复模式评价_肖林颖.caj.pdf,package_2000_2026,1874989,1.788,2026-07-07T15:28:19,58f38493165d01e266969dd7265e99d78a20acfab250335dca496bfe36526435,,云南省建水县石漠化修复模式评价 肖林颖.caj
云南边境石漠化地区“三生空间”格局演变及驱动机制_范新军.pdf,docs/literature/pdfs/package_2000_2026/云南边境石漠化地区“三生空间”格局演变及驱动机制_范新军.pdf,package_2000_2026,1967057,1.876,2026-07-07T15:26:29,6aa9deb224e9514a2dd524e4a9bad2d44a76e8c7d8d413e84b521230ea1bc31c,,云南边境石漠化地区“三生空间”格局演变及驱动机制 范新军
南太行地区(河南境内)石漠化分级评价及演进过程研究_褚加计.pdf,docs/literature/pdfs/package_2000_2026/南太行地区(河南境内)石漠化分级评价及演进过程研究_褚加计.pdf,package_2000_2026,2265552,2.161,2026-07-07T15:23:50,e7b43c78786e486a4abc9e9ed0b9b24415875bffef67208898bb7fa2277704ed,,南太行地区(河南境内)石漠化分级评价及演进过程研究 褚加计
基于多源数据的石漠化地区裸岩信息提取和景观格局分析_张志慧.pdf,docs/literature/pdfs/package_2000_2026/基于多源数据的石漠化地区裸岩信息提取和景观格局分析_张志慧.pdf,package_2000_2026,4713185,4.495,2026-07-07T15:22:42,6d7b64f3ff637119547c3be0a9898806e203d4a0c3107370370654c6e9c2260f,,基于多源数据的石漠化地区裸岩信息提取和景观格局分析 张志慧
基于改进DeepLabV3+的石漠化地区裸岩信息提取_吴永俊.pdf,docs/literature/pdfs/package_2000_2026/基于改进DeepLabV3+的石漠化地区裸岩信息提取_吴永俊.pdf,package_2000_2026,1613398,1.539,2026-07-07T16:21:56,beb1b1bb973143c940558a056d0538da1d4dec3609294259f549d87e4786c300,,基于改进DeepLabV3+的石漠化地区裸岩信息提取 吴永俊
基于无人机影像与Sentinel-2影像的基岩裸露率反演与石漠化程度评价_赵喆.pdf,docs/literature/pdfs/package_2000_2026/基于无人机影像与Sentinel-2影像的基岩裸露率反演与石漠化程度评价_赵喆.pdf,package_2000_2026,6408772,6.112,2026-07-07T15:23:08,16e3cc0ec669dfa3ecf21eb4062d2ff479a2ab595ddcc7d0f69f37f5ca80237a,,基于无人机影像与Sentinel 2影像的基岩裸露率反演与石漠化程度评价 赵喆
石漠化地区遥感影像信息提取方法综述_杨董琳.pdf,docs/literature/pdfs/package_2000_2026/石漠化地区遥感影像信息提取方法综述_杨董琳.pdf,package_2000_2026,410552,0.392,2026-07-07T15:24:11,64bba01d6d54a3ed25ad00b4276e4709b8aba0d2d0c4f3437bde103a322c6ab7,,石漠化地区遥感影像信息提取方法综述 杨董琳
西南喀斯特不同生境石漠化程度划分方法研究_唐荣彬.pdf,docs/literature/pdfs/package_2000_2026/西南喀斯特不同生境石漠化程度划分方法研究_唐荣彬.pdf,package_2000_2026,5701061,5.437,2026-07-07T15:24:34,17879351ce06f23d7db8de9b86c127b5a67ce08f87eedab070cbca299e80aa1b,,西南喀斯特不同生境石漠化程度划分方法研究 唐荣彬
遥感植被指数增强石漠化信息研究_叶杰.pdf,docs/literature/pdfs/package_2000_2026/遥感植被指数增强石漠化信息研究_叶杰.pdf,package_2000_2026,6157624,5.872,2026-07-07T15:24:57,3e1545305911f6e58a332bdd2eba9460e85bfa1db86c454be8bd7d291886065f,,遥感植被指数增强石漠化信息研究 叶杰
面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省大方地区为例_周迪.pdf,docs/literature/pdfs/package_2000_2026/面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省大方地区为例_周迪.pdf,package_2000_2026,1357341,1.294,2026-07-07T15:23:29,b810f6e5c6a405987dd4fcaf3d107dc4f8f89f6e064802c36670e809091cfbe8,,面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省大方地区为例 周迪
